t,P_L,P_S1,P_S2,P_S3,P_R,norm
307.6749,8.979697e-01,6.113961e-04,4.463977e-03,3.207955e-06,1.531192e-05,1.0000000000
311.0192,8.976259e-01,6.352125e-04,4.536089e-03,3.524325e-06,1.549075e-05,1.0000000000
314.3635,8.971003e-01,6.602209e-04,4.614302e-03,3.690493e-06,1.597256e-05,1.0000000000
317.7078,8.966843e-01,6.846268e-04,4.690058e-03,3.859907e-06,1.631733e-05,1.0000000000
321.0521,8.962378e-01,7.112503e-04,4.772109e-03,4.188054e-06,1.670696e-05,1.0000000000
324.3964,8.957352e-01,7.354789e-04,4.855065e-03,4.319603e-06,1.714758e-05,1.0000000000
327.7407,8.953247e-01,7.644777e-04,4.940458e-03,4.649092e-06,1.762301e-05,1.0000000000
331.0850,8.948066e-01,7.877964e-04,5.028368e-03,4.864278e-06,1.795670e-05,1.0000000000
334.4293,8.943687e-01,8.189961e-04,5.121568e-03,5.181974e-06,1.865403e-05,1.0000000000
337.7736,8.938693e-01,8.425490e-04,5.210758e-03,5.409161e-06,1.890122e-05,1.0000000000
341.1179,8.933977e-01,8.738713e-04,5.313845e-03,5.806139e-06,1.966439e-05,1.0000000000
344.4622,8.929041e-01,8.995842e-04,5.405408e-03,6.018227e-06,2.004570e-05,1.0000000000
347.8065,8.924233e-01,9.296926e-04,5.515226e-03,6.448268e-06,2.071371e-05,1.0000000000
351.1507,8.919045e-01,9.574668e-04,5.614320e-03,6.725137e-06,2.128643e-05,1.0000000000
354.4950,8.914399e-01,9.875991e-04,5.726058e-03,7.154830e-06,2.191249e-05,1.0000000000
357.8393,8.908914e-01,1.015138e-03,5.836462e-03,7.463604e-06,2.259152e-05,1.0000000000
361.1836,8.904175e-01,1.047325e-03,5.949055e-03,7.966453e-06,2.325255e-05,1.0000000000
364.5279,8.898842e-01,1.073395e-03,6.070547e-03,8.276143e-06,2.401968e-05,1.0000000000
367.8722,8.893604e-01,1.107148e-03,6.185345e-03,8.803744e-06,2.469553e-05,1.0000000000
371.2165,8.888567e-01,1.133193e-03,6.316141e-03,9.231432e-06,2.561742e-05,1.0000000000
374.5608,8.882988e-01,1.166554e-03,6.437637e-03,9.692876e-06,2.624170e-05,1.0000000000
377.9051,8.877882e-01,1.193664e-03,6.571152e-03,1.022581e-05,2.738009e-05,1.0000000000
381.2494,8.872413e-01,1.226117e-03,6.705866e-03,1.077697e-05,2.794889e-05,1.0000000000
384.5937,8.866768e-01,1.254153e-03,6.841137e-03,1.120074e-05,2.926652e-05,1.0000000000
387.9380,8.861801e-01,1.285490e-03,6.983217e-03,1.198288e-05,2.987109e-05,1.0000000000
391.2823,8.855480e-01,1.314435e-03,7.130575e-03,1.237189e-05,3.128232e-05,1.0000000000
394.6265,8.850707e-01,1.344679e-03,7.272481e-03,1.309095e-05,3.200873e-05,1.0000000000
397.9708,8.844460e-01,1.373738e-03,7.432420e-03,1.383648e-05,3.347059e-05,1.0000000000
401.3151,8.838974e-01,1.403611e-03,7.581321e-03,1.423571e-05,3.434164e-05,1.0000000000
404.6594,8.833423e-01,1.432153e-03,7.744554e-03,1.532217e-05,3.591167e-05,1.0000000000
408.0037,8.827194e-01,1.461038e-03,7.906824e-03,1.568025e-05,3.680573e-05,1.0000000000
411.3480,8.821795e-01,1.490162e-03,8.073470e-03,1.676072e-05,3.868018e-05,1.0000000000
414.6923,8.815653e-01,1.516940e-03,8.243959e-03,1.729916e-05,3.946634e-05,1.0000000000
418.0366,8.809627e-01,1.545866e-03,8.421604e-03,1.837734e-05,4.162781e-05,1.0000000000
421.3809,8.804066e-01,1.572819e-03,8.594784e-03,1.896089e-05,4.256511e-05,1.0000000000
424.7252,8.797312e-01,1.598424e-03,8.784334e-03,2.017267e-05,4.464185e-05,1.0000000000
428.0695,8.792031e-01,1.626955e-03,8.964955e-03,2.076619e-05,4.608117e-05,1.0000000000
431.4138,8.785149e-01,1.650002e-03,9.159239e-03,2.208685e-05,4.794827e-05,1.0000000000
434.7581,8.779508e-01,1.677035e-03,9.353189e-03,2.270171e-05,4.981523e-05,1.0000000000
438.1024,8.772866e-01,1.700698e-03,9.550136e-03,2.420047e-05,5.169985e-05,1.0000000000
441.4466,8.766927e-01,1.723822e-03,9.757019e-03,2.474420e-05,5.380593e-05,1.0000000000
444.7909,8.760176e-01,1.748555e-03,9.957760e-03,2.644219e-05,5.582567e-05,1.0000000000
448.1352,8.754245e-01,1.768364e-03,1.017607e-02,2.706627e-05,5.820838e-05,1.0000000000
451.4795,8.747375e-01,1.792495e-03,1.038479e-02,2.867830e-05,6.025219e-05,1.0000000000
454.8238,8.741194e-01,1.810557e-03,1.060622e-02,2.965312e-05,6.310079e-05,1.0000000000
458.1681,8.734527e-01,1.832606e-03,1.083315e-02,3.115491e-05,6.507442e-05,1.0000000000
461.5124,8.727889e-01,1.849449e-03,1.105175e-02,3.216897e-05,6.834789e-05,1.0000000000
464.8567,8.721511e-01,1.868892e-03,1.129283e-02,3.409269e-05,7.051928e-05,1.0000000000
468.2010,8.714406e-01,1.885107e-03,1.152243e-02,3.473702e-05,7.391352e-05,1.0000000000
471.5453,8.708217e-01,1.900972e-03,1.176103e-02,3.706415e-05,7.652357e-05,1.0000000000
474.8896,8.700981e-01,1.916203e-03,1.201109e-02,3.785029e-05,8.002800e-05,1.0000000000
478.2339,8.694400e-01,1.930448e-03,1.225038e-02,3.985913e-05,8.300855e-05,1.0000000000
481.5782,8.687674e-01,1.941705e-03,1.250681e-02,4.130047e-05,8.673021e-05,1.0000000000
